numtasks = 2
rank 0: from 1 to 51
numtasks = 2
rank 1: from 52 to 101
process 0 error 1.3831261018 global error 2.1409713297 
process 1 error 2.1389265853 global error 2.1409713297 
process 0 error 1.3754730346 global error 2.1389265853 
process 1 error 2.0806155903 global error 2.1389265853 
process 0 error 1.3678569017 global error 2.0806155903 
process 1 error 2.0366662695 global error 2.0806155903 
process 1 error 1.9971807185 global error 2.0366662695 
process 0 error 1.3602775249 global error 2.0366662695 
process 0 error 1.3527347267 global error 1.9971807185 
process 1 error 1.9612811981 global error 1.9971807185 
process 0 error 1.3452283307 global error 1.9612811981 
process 1 error 1.9272016818 global error 1.9612811981 
process 0 error 1.3377581610 global error 1.9272016818 
process 1 error 1.8950324692 global error 1.9272016818 
process 0 error 1.3303240393 global error 1.8950324692 
process 1 error 1.8648058471 global error 1.8950324692 
process 0 error 1.3229257613 global error 1.8648058471 
process 1 error 1.8357303139 global error 1.8648058471 
process 0 error 1.3155630074 global error 1.8357303139 
process 1 error 1.8079628636 global error 1.8357303139 
process 0 error 1.3082351468 global error 1.8079628636 
process 1 error 1.7813704919 global error 1.8079628636 
process 0 error 1.3009409472 global error 1.7813704919 
process 1 error 1.7555520257 global error 1.7813704919 
process 0 error 1.2936782708 global error 1.7555520257 
process 1 error 1.7303155853 global error 1.7555520257 
process 0 error 1.2864438475 global error 1.7303155853 
process 1 error 1.7060164017 global error 1.7303155853 
process 0 error 1.2792331916 global error 1.7060164017 
process 1 error 1.6825936767 global error 1.7060164017 
process 0 error 1.2720406729 global error 1.6825936767 
process 1 error 1.6593566731 global error 1.6825936767 
process 0 error 1.2648597157 global error 1.6593566731 
process 1 error 1.6373085736 global error 1.6593566731 
process 0 error 1.2576830818 global error 1.6373085736 
process 1 error 1.6153821156 global error 1.6373085736 
process 0 error 1.2505031864 global error 1.6153821156 
process 1 error 1.5943019221 global error 1.6153821156 
process 0 error 1.2433124107 global error 1.5943019221 
process 1 error 1.5734356994 global error 1.5943019221 
process 0 error 1.2361033801 global error 1.5734356994 
process 1 error 1.5533428846 global error 1.5734356994 
process 0 error 1.2288691951 global error 1.5533428846 
process 1 error 1.5333191874 global error 1.5533428846 
process 0 error 1.2216036071 global error 1.5333191874 
process 1 error 1.5141916618 global error 1.5333191874 
process 0 error 1.2143011407 global error 1.5141916618 
process 1 error 1.4950447315 global error 1.5141916618 
process 0 error 1.2069571674 global error 1.4950447315 
process 1 error 1.4766253666 global error 1.4950447315 
process 0 error 1.1995679373 global error 1.4766253666 
process 1 error 1.4584335944 global error 1.4766253666 
process 0 error 1.1921305776 global error 1.4584335944 
process 1 error 1.4404468441 global error 1.4584335944 
process 0 error 1.1846430654 global error 1.4404468441 
process 1 error 1.4231483356 global error 1.4404468441 
process 0 error 1.1771041805 global error 1.4231483356 
process 1 error 1.4059088673 global error 1.4231483356 
process 0 error 1.1695134472 global error 1.4059088673 
process 1 error 1.3890204656 global error 1.4059088673 
process 0 error 1.1618710659 global error 1.3890204656 
process 1 error 1.3726215387 global error 1.3890204656 
process 0 error 1.1541778431 global error 1.3726215387 
process 1 error 1.3563073257 global error 1.3726215387 
process 0 error 1.1464351182 global error 1.3563073257 
process 1 error 1.3402896996 global error 1.3563073257 
process 0 error 1.1386446936 global error 1.3402896996 
process 1 error 1.3247559597 global error 1.3402896996 
process 0 error 1.1308087665 global error 1.3247559597 
process 1 error 1.3093201921 global error 1.3247559597 
process 0 error 1.1229298650 global error 1.3093201921 
process 1 error 1.2939937168 global error 1.3093201921 
process 0 error 1.1150107892 global error 1.2939937168 
process 1 error 1.2792751589 global error 1.2939937168 
process 0 error 1.1070545573 global error 1.2792751589 
process 1 error 1.2646635678 global error 1.2792751589 
process 0 error 1.0990643564 global error 1.2646635678 
process 1 error 1.2501639530 global error 1.2646635678 
process 0 error 1.0910434991 global error 1.2501639530 
process 1 error 1.2359287787 global error 1.2501639530 
process 0 error 1.0829953846 global error 1.2359287787 
process 1 error 1.2220859313 global error 1.2359287787 
process 0 error 1.0749234645 global error 1.2220859313 
process 1 error 1.2083542186 global error 1.2220859313 
process 0 error 1.0668312132 global error 1.2083542186 
process 1 error 1.1947389134 global error 1.2083542186 
process 0 error 1.0587221020 global error 1.1947389134 
process 1 error 1.1813685091 global error 1.1947389134 
process 0 error 1.0505995776 global error 1.1813685091 
process 1 error 1.1683491831 global error 1.1813685091 
process 0 error 1.0424670425 global error 1.1683491831 
process 1 error 1.1554420467 global error 1.1683491831 
process 0 error 1.0343278401 global error 1.1554420467 
process 1 error 1.1426505159 global error 1.1554420467 
process 0 error 1.0261852415 global error 1.1426505159 
process 1 error 1.1299775303 global error 1.1426505159 
process 0 error 1.0180424343 global error 1.1299775303 
process 1 error 1.1177136776 global error 1.1299775303 
process 0 error 1.0099025149 global error 1.1177136776 
process 1 error 1.1055725308 global error 1.1177136776 
